action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
3463.877614196447,2606.0052973517513,2117.580759808399,1693.4911791148213,2801.6947677277903,2939.761509431355,3458.672942976077,3401.74736350088,3490.432436458168
3669.539819468536,2828.254791055686,2101.9061647857316,1925.6455827895338,2841.6507944385676,3001.679385802632,3522.1803466702645,3332.71304853379,3484.232376145767
3932.88182916367,3165.9973712678375,2098.641203111156,2171.89740671759,2942.62709414094,2875.545149663165,3548.73261785971,3286.5070869832316,3526.195117148953
4080.8944013387572,3044.532889563323,2221.995432451245,2255.2823835395457,3051.187453880898,3242.6548009564804,3512.011125946985,3273.5792480566756,3871.173232500321
4043.171123086804,3191.977618646488,2151.0997699612035,2495.44635019352,3190.4360283332944,3353.78034922773,3507.774804656181,3328.5750816960644,3917.3473206581825
4090.440969359431,3295.009443508402,2140.4258563229564,2638.75217804735,3389.2042821246046,3408.781440388282,3481.698316010558,3402.7054648305584,4025.066497066582
4133.531642445461,3287.4348964576975,2085.3021034010935,2863.11152240069,3563.096787952736,3431.4400183887165,3521.7097098435092,3512.825560519709,4083.3305861193644
4240.0409551813445,3452.9070730275353,2222.7519090068186,2727.6840335314896,3605.140710591996,3450.0897618951644,3590.931302452561,3650.5839287002177,4201.077911284684
4450.874540163046,3461.1859230659497,2398.63883060397,2790.9270968684827,3641.5872107173336,3762.9758420353664,3579.593094393159,3584.1126186649026,4212.232874737549
4749.059266811932,3470.152787610017,2388.835872921161,2785.0987983003547,3543.3190844797095,3840.882150752513,3678.9237131620976,3803.5617828950662,4366.00754387553
5006.282199898483,3507.983129113667,2494.0218851624804,2806.215464142487,3726.879479880051,3953.2694900639217,3616.7044511090553,3972.7588297586362,4546.745083093398
5255.371125536454,3566.9994181460925,2426.6918274340223,2867.91876812367,3712.9470580648604,4090.602671777518,3735.8331668690025,4102.126733466638,4593.0992642873025
5352.653248538234,3576.4098140033566,2317.7593038618775,2849.721407665576,4084.4247136735557,4218.745142483684,3889.275071959747,4197.590179841327,4792.04799921428
5313.594112999298,3725.8409470177353,2270.9110848465252,2986.2144712589475,4229.557874410726,4287.380539829044,4116.005857372013,4285.658716015871,4681.875325953546
5491.0896130400615,3684.522771209629,2348.235798884177,3084.7773245187855,4240.425850328193,4423.024677114878,4182.668609092874,4508.123582932917,4856.691453696902
5599.581098381895,3700.6644912657694,2415.8697381076136,3067.1383079769616,4345.325680400599,4625.222447759661,4425.517915749951,4563.93517340674,5048.4227606183795
5807.334904950632,3663.4986602501726,2258.8960348658375,3292.226085672288,4485.031327308066,4618.613303128544,4721.808374733802,4595.533946056159,5003.699293191764
5785.141334617278,3881.029144139151,2540.9573069894736,3305.804797065329,4661.1205611151745,4692.593522051837,4775.690702489508,4567.968501994448,5094.799254445015
6112.086699032448,4039.7533494516883,2487.4160667551373,3177.859455607942,4813.79600219346,4874.0937322160835,4871.471645216728,4487.873769994589,5053.381960596034
6188.907639655674,4067.7526201369396,2515.3832057105747,3317.2146544601565,4864.7079429603145,4994.192694147361,4945.626168047817,4496.363368654687,5067.605615227656
6619.464965898056,4070.8467632252855,2710.0276552340074,3345.2185967519335,4896.417790524615,5071.148359478504,4933.376311368174,4504.005700371264,5082.152443546447
6461.426390642759,4060.65731456402,2937.8387556293405,3560.35514357539,4922.013853437988,4851.178777798408,5137.939635818037,4562.236078587192,5442.517795554287
