,action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
0095100F3400A00F4300A00F,8.029270921271458,17.926360177887744,13.415611191345654,17.27877388999404,8.56588580228814,8.245959896460391,19.746774371778212,15.109328199177074,0.0
0096100F3400A00F4300A00F,8.478828524004125,5.994234576087192,2.9552908446061235,20.886851696355528,2.6517029718943386,0.0,0.20776642803990253,0.0,4.358331365469023
0096100F3400A00F3400A00F,0.0,6.679523384185908,-3.1886232345135594,0.0,0.0,0.0,-1.6232724540860775,0.0,0.20242608918593952
00B5100F3200B00F3200B00F,6.909768846699317,0.0,-0.080856084361288,0.0,18.037169996560458,0.0,0.675,14.958053721382486,0.0
1000F00E1000F00E1000F00E,0.0,5.099786909883466,3.573760882211943,10.064559992899408,3.6549147303703555,3.624788131475908,7.393955593730498,0.0,0.0
0000F00F0000F00F0000F00F,0.0,2.891790468744274,0.0,9.693232037120445,0.0,0.0,4.478889136153909,0.0,0.0
0631000F2106000F2106000F,0.0,0.0,0.007765909875878942,0.0,1.5,0.0,0.0,0.0,0.0
0091000F3106000F3106000F,-9.0,-0.2925,-2.1270571171560775,0.0,-3.075,-1.7805472943453147,2.2922537358887287,0.0,-0.2848622710125879
00A2000F3108000F3108000F,5.2550670461646245,13.071611283378786,6.31744965812798,20.952469651548533,9.244197927838949,13.469943826379717,26.879694325442408,11.709449782704239,9.374093544366835
1081000F3206000F2206000F,-3.0,-1.65,-10.359564637735678,-6.0,-4.5,0.0,-6.0,-3.0,0.0
0080000F2106000F2106000F,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0
1073000F3207000F3207000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.393050593593617,0.0
1081000F3106000F2206000F,0.0,-1.5,0.0,0.0,-7.5,0.0,-3.0,0.0,-12.0
1091000F3106000F3106000F,0.0,0.6375000000000002,0.0,0.0,0.0,-0.9750000000000001,0.0,0.0,0.0
0091000F2007000F2007000F,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
00A3000F3209000F3209000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5469158903541347,-6.0
00A4000F3208000F3208000F,-5.963097440377383,12.932071707100809,-3.3016229141760176,12.386014551611082,0.0,0.0,0.0,-2.3613757543365166,-1.1165625
0091000F2106000F2106000F,-3.0,-3.0,0.0,0.0,-1.5,0.0,0.0,-1.5,0.0
00B3000F3208000F3208000F,0.0,0.0,0.0,16.41066194199464,0.0,0.0,0.0,0.0,0.0
0092000F3107000F3107000F,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0092000F3108000F3108000F,-1.5,0.0,-3.0,0.0,-3.0,0.0,0.0,-1.5,0.0
00A3000F3109000F3109000F,0.0,0.0,0.0,1.955625,0.0,0.0,0.0,0.0,0.0
0622000F2106000F2106000F,5.263757292210963,10.962455263440475,2.5408962258835337,0.0,0.0,1.8965801614626516,4.155990439087467,2.0459276233832657,2.199376330555248
1081000F3206000F3206000F,0.0,-3.0,0.0,0.0,0.0,-6.15,0.0,0.0,0.0
00A2000F3207000F3207000F,11.884132667047528,-1.65,0.0,0.0,0.0,0.0,-0.07499999999999996,0.0,-2.768949575389388
10A3000F3208000F3208000F,0.0,26.600149834784823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000C000F000C000F000C000F,6.608428754956307,5.204937197966761,6.645762162608169,6.626206840024921,6.525068754286311,4.015374444504285,3.6096135933451663,6.337392053837989,3.0989371905318084
0082000F2106000F2106000F,8.985132017587572,0.0,5.653253698032466,15.180238677623,6.013025675736574,9.312596570082764,8.949859011228371,5.166387607804068,-3.0
00A2000F2108000F2108000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
00A2000F2208000F2208000F,2.601548649556566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.227740698512626
00A2000F2109000F2109000F,0.0,0.0,0.0,0.0,-1.5,15.702753163728005,0.0,5.79734899513469,0.0
0000F00C0000F00C0000F00C,2.2155277961800315,0.9075810900958194,0.0,7.33534277935139,0.0,2.3386126737455886,3.756790390334345,0.0,0.0
0000F00B0000F00B0000F00B,0.0,3.977742661753704,0.0,0.0,4.869446841858024,5.756317969490722,2.255686237388604,0.0,0.0
0080000F2105000F3005000F,0.0,3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0
0530000F2050000F2050000F,0.0,0.0,0.0,-3.0,0.0,3.9294731950985455,0.0,0.0,0.0
00A4000F4100A00F4100A00F,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0
0530000F2106000F3106000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0530000F2150000F2150000F,-7.5,0.0,0.0,-4.5,-1.161282522983273,-3.0,4.5,0.8709714364816076,-4.5
0080000F3050000F3050000F,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0
0081000F2206000F2206000F,0.0,0.0,0.0,19.18130170232818,0.0,0.0,0.0,0.0,0.0
