,action_TFC,action_TFU,action_TNC,action_greedy,action_DFC,action_DFU,action_DNC,action_DNU,action_retreat
0090000F3060000F3060000F,0.0,0.0,-2.0939661631954833,26.71876091471271,0.0,0.0,0.0,0.0,3.6434249588503738
1000F00C1000F00C1000F00C,12.34477714822873,8.477138965882682,9.266489565764456,13.946410060839273,10.86436857508781,24.011812523883574,12.37562538983292,14.053692198837414,10.307824485463858
0623000F3206000F3206000F,12.326221467130214,3.0,-3.0,22.50840560022387,-1.65,10.904289753457718,0.0,0.0,-2.046514515300668
00A4000F2407000F3307000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0724000F3207000F3307000F,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0
00A3000F3208000F3208000F,0.0,-1.5,0.0,4.5,0.0,0.0,0.0,-3.0,0.0
A210000F3208000F3208000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.708725912801382
0631000F3106000F3106000F,0.0,0.0,0.0,0.0,0.0,0.0,4.657891725402929,0.0,0.0
0520000F2050000F2050000F,-2.55196875,0.0,0.0,15.268684450064411,0.0,0.0,0.0,0.0,0.06609020829208934
0620000F1160000F1160000F,0.0,25.610554639777988,0.0,5.576814278080849,0.0,-0.5016093750000001,3.0,0.0,0.0
0552000F2505000F2405000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0
0552000F2405000F2405000F,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.0
00A3000F3109000F3109000F,0.0,1.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0095100F3209000F3209000F,-3.0,0.0,0.0,0.0,12.930464226267134,0.0,0.0,0.0,-1.5
00B3000F3109000F3209000F,0.0,0.0,0.0,0.0,0.0,0.0,1.0125,0.0,0.0
0090000F2107000F2106000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00A2000F3108000F3108000F,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
00A2000F2108000F2208000F,21.008130950235188,33.35157014665951,15.182691081031779,36.70596414406408,29.01987631729559,34.53359918505714,29.85403902209962,31.182413807486828,29.284319396186458
9210000F3107000F3207000F,4.492010748895312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10A3000F3208000F3208000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1083000F3207000F3207000F,0.0,12.187357755119445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0621000F2206000F2206000F,0.0,0.0,0.0,0.0,0.0,35.50105511402185,0.0,0.0,0.0
8310000F3207000F3207000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9210000F3207000F3207000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8210000F3206000F3206000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0081000F2206000F2206000F,0.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0541000F2305000F2305000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0749999999999997,0.0
0621000F2304000F2304000F,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,0.0,0.0
0541000F3206000F3206000F,0.0,4.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0
0531000F3106000F3206000F,0.0,0.0,0.0,0.0,0.0,6.671005374447656,0.0,0.0,0.0
0092000F3107000F3107000F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85,0.0
0095000F220A000F220A000F,0.0,0.0,0.0,29.35229103981971,0.0,0.0,10.860111525575174,0.0,0.0
00B3100F1330900F1330800F,0.0,12.583048176116177,-3.3,19.575214957484402,0.0,31.97277146385241,0.0,-1.330815664678278,10.628060991738549
